instnm,control,tuitionfee_in,tuitionfee_out,md_earn_wne_p10
Nova Southeastern University,2,30900,30900,45300
AdventHealth University,2,12240,12240,56000
Trinity College of Florida,2,16340,16340,29200
Saint Leo University,2,23020,23020,43800
Brewton-Parker College,2,18240,18240,31900
Point University,2,20600,20600,32500
Toccoa Falls College,2,22744,22744,29500
Boise State University,1,7694,23776,37100
Bradley University,2,33760,33760,53600
Eastern Illinois University,1,11803,14023,42200
Robert Morris University Illinois,2,28050,28050,32300
Rockford University,2,30930,30930,45200
Goshen College,2,33700,33700,37700
Saint Francis Medical Center College of Nursing,2,.,.,55400
Western Illinois University,1,12951,12951,43200
Purdue University Fort Wayne,1,8450,20288,36500
Bethel University,2,28590,28590,37800
Calumet College of Saint Joseph,2,19170,19170,42000
Saint Anthony College of Nursing,2,25948,25948,60600
Southern Illinois University-Carbondale,1,14704,29160,42900
Earlham College,2,46450,46450,35000
Trinity Christian College,2,30175,30175,42200
Allen College,2,18662,18662,50800
Briar Cliff University,2,30970,30970,41900
Central College,2,37296,37296,44700
Rose-Hulman Institute of Technology,2,49871,49871,80900
Indiana University-South Bend,1,7344,19400,34900
Cornell College,2,42299,42299,43000
Indiana University-East,1,7344,19400,31500
University of Dubuque,2,34110,34110,39200
Cazenovia College,2,34630,34630,37100
Five Towns College,3,21280,21280,34400
CUNY Bernard M Baruch College,1,7262,14932,57200
College of Staten Island CUNY,1,7290,14960,41500
Kehilath Yakov Rabbinical Seminary,2,9800,9800,.
Keuka College,2,32044,32044,43800
Hamilton College,2,54620,54620,60200
Long Island University,2,37763,37763,49000
Molloy College,2,31490,31490,60500
Monroe College,3,15428,15428,30300
Manhattan School of Music,2,47300,47300,32300
Ithaca College,2,43978,43978,52300
Pratt Institute-Main,2,51870,51870,43400
Farmingdale State College,1,8306,18086,51700
Yeshiva Shaar Hatorah,2,15760,15760,.
SUNY at Fredonia,1,8488,18268,41700
SUNY Oneonta,1,8421,17871,43400
SUNY Downstate Health Sciences University,1,.,.,127900
High Point University,2,35118,35118,39000
University of North Carolina Wilmington,1,7091,21156,41600
Davidson College,2,51447,51447,58900
William Peace University,2,30500,30500,36000
Mid-Atlantic Christian University,2,15300,15300,30800
Montreat College,2,26920,26920,37000
Saint Augustine's University,2,17890,17890,27300
North Carolina A & T State University,1,6612,19822,34700
University of Mary,2,18444,18444,48000
Bluffton University,2,32766,32766,39000
Bowling Green State University-Main Campus,1,11105,19093,40500
The Christ College of Nursing and Health Sciences,2,16203,16203,56200
Wingate University,2,33166,33166,43200
Western Carolina University,1,3926,7926,37700
Lourdes University,2,22480,22480,36500
Ohio Christian University,2,20806,20806,31800
Cleveland State University,1,10457,14824,41300
Suffolk University,2,38566,38566,53100
Central Michigan University,1,12960,24120,41900
Wellesley College,2,53732,53732,60800
College for Creative Studies,2,44110,44110,44100
Williams College,2,55450,55450,59000
Pine Manor College,2,31660,31660,36600
Kalamazoo College,2,48666,48666,48700
Northwood University,2,27060,27060,48900
Lawrence Technological University,2,33570,33570,55300
Grand Valley State University,1,12484,17762,42800
Marygrove College,2,.,.,28700
Michigan Technological University,1,15646,33726,66400
Bethany Lutheran College,2,27780,27780,34800
Carleton College,2,54759,54759,54200
Concordia University-Saint Paul,2,22275,22275,49200
Martin Luther College,2,15410,15410,37300
Winona State University,1,9425,15348,44700
Alcorn State University,1,7084,7084,31100
Mississippi University for Women,1,6940,6940,34100
Saint Johns University,2,44990,44990,60600
Rust College,2,9900,9900,24100
Midwestern Baptist Theological Seminary,2,7920,7920,.
University of Central Missouri,1,7673,14442,38000
Cleveland University-Kansas City,2,14800,14800,43800
Fontbonne University,2,26340,26340,40800
Hannibal-LaGrange University,2,22750,22750,34300
University of Missouri-Kansas City,1,8178,20207,45700
St. Louis College of Pharmacy,2,29981,29981,124100
Truman State University,1,7749,14601,44500
Stephens College,2,30950,30950,33900
University of Providence,2,25168,25168,32500
The University of Montana-Western,1,5717,17179,30400
University of Nebraska at Kearney,1,7512,13742,41300
Emporia State University,1,6758,20675,37100
Wichita State University,1,8270,17452,40400
Newman University,2,30750,30750,44000
Kentucky State University,1,8090,19390,28700
University of Kentucky,1,12245,29099,45100
University of Saint Mary,2,28810,28810,38500
Berea College,2,39990,39990,33700
Campbellsville University,2,25400,25400,33700
Centre College,2,41700,41700,45500
Dillard University,2,17918,17918,35400
Transylvania University,2,38750,38750,44100
Louisiana College,2,17000,17000,42800
Johns Hopkins University,2,53740,53740,73200
University of Maryland-Baltimore County,1,11778,26872,55000
Hult International Business School,2,40650,40650,.
Amherst College,2,56426,56426,65000
Anna Maria College,2,37860,37860,44800
Mount St. Mary's University,2,41350,41350,52600
Notre Dame of Maryland University,2,36900,36900,51800
Assumption College,2,40958,40958,55200
Bay Path University,2,34225,34225,42700
Fisher College,2,31384,31384,34900
Boston Architectural College,2,21924,21924,46100
University of Massachusetts-Boston,1,14167,33966,48200
Boston University,2,53948,53948,65300
Massachusetts Maritime Academy,1,9728,26106,86600
Regis College,2,41015,41015,47500
Smith College,2,52404,52404,46200
Massachusetts College of Liberal Arts,1,10559,19504,35800
Walsh College,2,.,.,60400
Augsburg University,2,38800,38800,46800
Macalester College,2,54344,54344,47600
Southwest Minnesota State University,1,8612,8612,37600
Oak Hills Christian College,2,17314,17314,28800
Huntingdon College,2,27400,27400,39900
Miles College,2,12132,12132,26500
University of Arkansas at Pine Bluff,1,8038,14398,27200
California Polytechnic State University-San Luis Obispo,1,9816,21696,66900
Embry-Riddle Aeronautical University-Worldwide,2,9360,9360,66200
The King's University,2,15000,15000,39100
American InterContinental University,3,11937,11937,37300
Beacon College,2,39016,39016,.
Doane University-Graduate and Professional Studies,2,11370,11370,44300
Pillar College,2,21700,21700,.
Apex School of Theology,2,5100,5100,.
California State University-Channel Islands,1,6817,18697,49800
West Coast University-Los Angeles,3,34835,34835,54900
Strayer University-Pennsylvania,3,13380,13380,45900
University of Phoenix-Illinois,3,.,.,47100
Tri-State Bible College,2,9100,9100,.
Uta Mesivta of Kiryas Joel,2,12000,12000,20300
Stevens-Henager College,2,16972,16972,28800
Maple Springs Baptist Bible College and Seminary,2,5400,5400,.
Talmudical Seminary of Bobov,2,10200,10200,.
The King's College,2,36450,36450,.
Chamberlain University-Illinois,3,19375,19375,58400
Yeshiva College of the Nations Capital,2,10500,10500,.
Averett University-Non-Traditional Programs,2,11520,11520,41800
Visible Music College,2,19500,19500,.
The Chicago School of Professional Psychology at Los Angeles,2,14738,14738,.
Yeshiva of Machzikai Hadas,2,9200,9200,.
Polytechnic University of Puerto Rico-Miami,2,12525,12525,29800
University of South Florida-Sarasota-Manatee,1,5587,16501,43500
City Vision University,2,5600,5600,.
New England College of Business and Finance,3,12120,12120,.
Strayer University-Alabama,3,13380,13380,45900
Strayer University-West Virginia,3,13380,13380,45900
Yeshiva Kollel Tifereth Elizer,2,11360,11360,.
America Evangelical University,2,5500,5500,.
Women's Institute of Torah Seminary,2,9850,9850,.
Oikos University,2,5250,5250,.
Drury University-College of Continuing Professional Studies,2,6247,6247,.
Purdue University Global-St. Louis,1,14343,14343,.
Chamberlain University-Michigan,3,19375,19375,.
Chamberlain University-North Carolina,3,19375,19375,.
Beth Medrash of Asbury Park,2,12350,12350,.
Central Yeshiva Beth Joseph,2,.,.,.
Yeshiva Gedola Ohr Yisrael,2,7600,7600,.
Yeshivas Maharit D'Satmar,2,11500,11500,.
Husson University,2,18170,18170,.
Milligan University,2,33700,33700,.
Piedmont International University,2,9920,9920,.
University of Phoenix-California,3,9552,9552,47100
University of Phoenix-Georgia,3,.,.,47100
University of Phoenix-Tennessee,3,.,.,47100
Rabbinical College Ohr Yisroel,2,9000,9000,.
Bais HaMedrash and Mesivta of Baltimore,2,13000,13000,.
Be'er Yaakov Talmudic Seminary,2,10220,10220,.
Chamberlain University-Indiana,3,19375,19375,58400
Purdue University Global-Augusta,1,14343,14343,33900
California Miramar University,3,8977,8977,.
Grace School of Theology,2,5280,5280,.
DeVry University-California,3,17865,17865,44100
Arizona State University-Skysong,1,10317,18629,47700
DeVry University-Illinois,3,17509,17509,44100
DeVry University-Nevada,3,17547,17547,44100
DeVry University-Ohio,3,17621,17621,44100
DeVry University-Tennessee,3,17713,17713,44100
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,2,11750,11750,.
Elizabethtown College School of Continuing and Professional Studies,2,.,.,51300
Chamberlain University-Virginia,3,19375,19375,58400
South University-Novi,3,.,.,33400
South University-Savannah Online,3,13354,13354,33400
John Paul the Great Catholic University,2,26100,26100,.
Chamberlain University-Missouri,3,19375,19375,58400
University of Management and Technology,3,9450,9450,.
Pacific Rim Christian University,2,10460,10460,29500
Strayer University-South Carolina,3,13380,13380,45900
Strayer University-Global Region,3,13380,13380,45900
Touro University Worldwide,2,14600,14600,.
Touro University Nevada,2,.,.,.
Compass College of Cinematic Arts,2,15050,15050,.
Herzing University-Brookfield,2,14000,14000,37800
Soka University of America,2,33146,33146,.
Central Methodist University-College of Graduate and Extended Studies,2,5760,5760,35400
Marlboro College Graduate & Professional Studies,2,.,.,27600
Rabbi Jacob Joseph School,2,11900,11900,.
University of Connecticut-Avery Point,1,13648,36016,58400
International Baptist College and Seminary,2,11250,11250,.
Stevens-Henager College,2,16972,16972,28800
Southern California Seminary,2,17540,17540,.
Pacific States University,2,16065,16065,.
Trinity College of Nursing & Health Sciences,2,27534,27534,44500
Talmudical Yeshiva of Philadelphia,2,9175,9175,.
Newschool of Architecture and Design,3,27501,27501,49400
Pomona College,2,52780,52780,58100
William Jessup University,2,33550,33550,37300
San Jose State University,1,7796,19676,56100
Palo Alto University,2,.,.,.
Pacific Oaks College,2,13688,13688,42800
University of Colorado Denver/Anschutz Medical Campus,1,9283,25771,56400
Thomas Aquinas College,2,25000,25000,42100
Colorado School of Mines,1,18964,38584,84900
Colorado State University-Fort Collins,1,11707,29608,47100
Sonoma State University,1,7798,19678,49200
Southern California Institute of Architecture,2,44960,44960,43100
Colorado College,2,55470,55470,45400
Texas Health and Science University,3,.,.,.
Strayer University-Maryland,3,13380,13380,45900
American University of Health Sciences,3,22570,22570,34800
Western Governors University,2,6670,6670,41900
Rabbinical College of Ohr Shimon Yisroel,2,13600,13600,14300
Talladega College,2,13571,13571,21900
Troy University,1,8908,16708,37000
United States Sports Academy,2,.,.,.
Athens State University,1,.,.,38700
Auburn University,1,11276,30524,48800
Oakwood University,2,19732,19732,29700
Selma University,2,7410,7410,.
University of Arkansas at Little Rock,1,9544,21754,34900
Lyon College,2,28790,28790,38600
Southwest University of Visual Arts-Tucson,3,23069,23069,30200
Arkansas State University-Main Campus,1,8607,15297,32200
Azusa Pacific University,2,38880,38880,51100
University of Arkansas-Fort Smith,1,5593,12666,31000
Academy of Art University,3,22308,22308,38600
Ouachita Baptist University,2,26790,26790,41200
University of the Ozarks,2,24230,24230,33900
California State University Maritime Academy,1,7056,18936,82900
Bucknell University,2,56092,56092,70800
Gannon University,2,32136,32136,48100
Delaware Valley University,2,39440,39440,42100
Haverford College,2,54838,54838,60700
Holy Family University,2,30346,30346,52700
Immaculata University,2,27350,27350,50600
Pennsylvania State University-Penn State Erie-Behrend College,1,15198,24450,50100
Juniata College,2,45597,45597,49200
King's College,2,37226,37226,51000
Pennsylvania State University-Penn State Shenango,1,13342,21366,50100
La Salle University,2,30710,30710,58000
Millersville University of Pennsylvania,1,12226,22196,43500
Pennsylvania State University-Penn State Berks,1,15198,24450,50100
Lebanon Valley College,2,43650,43650,45800
Pennsylvania State University-Penn State Brandywine,1,14468,23028,50100
Pennsylvania State University-Main Campus,1,18454,34858,50100
Pennsylvania State University-Penn State Abington,1,14524,23278,50100
Pennsylvania Academy of the Fine Arts,2,38878,38878,20200
Rosemont College,2,19900,19900,44700
Thiel College,2,31700,31700,37600
Seton Hill University,2,35748,35748,40200
Villanova University,2,53308,53308,77900
Saint Charles Borromeo Seminary-Overbrook,2,20655,20655,.
Newberry College,2,26424,26424,36900
Converse College,2,18340,18340,33900
University of South Carolina Beaufort,1,10730,21776,36800
Coastal Carolina University,1,11716,26828,38500
University of South Dakota,1,9061,12425,42000
Winthrop University,1,15730,29986,35900
Le Moyne-Owen College,2,11196,11196,28400
Dakota Wesleyan University,2,27640,27640,37200
Oglala Lakota College,1,2684,2684,17700
South Dakota School of Mines and Technology,1,10560,14820,56500
Fisk University,2,21480,21480,35000
Southern Adventist University,2,21950,21950,38500
Union University,2,32610,32610,43200
University of the Incarnate Word,2,31484,31484,46500
Lamar University,1,8373,18333,39500
Hardin-Simmons University,2,28990,28990,43300
University of Mary Hardin-Baylor,2,28650,28650,44200
McMurry University,2,27419,27419,41000
University of Houston-Clear Lake,1,7002,19954,47900
Concordia University Texas,2,31810,31810,44500
University of Houston,1,8913,21273,51600
Dallas Christian College,2,18734,18734,38900
The University of Texas Health Science Center at San Antonio,1,.,.,79000
Sam Houston State University,1,8296,18256,44600
The University of Texas at Dallas,1,13034,36876,53100
Our Lady of the Lake University,2,28740,28740,39300
Stephen F Austin State University,1,8316,18276,41900
Texas Lutheran University,2,29960,29960,45600
The University of Texas at San Antonio,1,8049,19538,45300
Sul Ross State University,1,6816,16776,37900
Rice University,2,47350,47350,65400
Brigham Young University-Hawaii,2,5560,5560,42200
Trinity University,2,42976,42976,54900
Texas Tech University Health Sciences Center,1,.,.,80300
New England Culinary Institute,3,22200,22200,37600
Bluefield College,2,26060,26060,40900
Bridgewater College,2,35160,35160,42500
Berklee College of Music,2,44140,44140,30300
Hampshire College,2,51668,51668,34500
Brandeis University,2,55395,55395,57900
Adrian College,2,37087,37087,38600
Northeastern University,2,51522,51522,67400
Tufts University,2,56382,56382,75800
Eastern Michigan University,1,12508,12508,39300
University of Minnesota-Crookston,1,11822,11822,44800
Hamline University,2,41290,41290,49200
Minnesota State University Moorhead,1,8496,15906,40600
Crown College,2,26200,26200,35100
St Catherine University,2,39554,39554,49200
Columbia College,2,22704,22704,38300
University of Southern Mississippi,1,8624,10624,36400
Lindenwood University,2,17600,17600,41300
Avila University,2,19900,19900,44100
Montana State University-Northern,1,5955,18665,37100
Rocky Mountain College,2,28572,28572,38800
William Jewell College,2,34400,34400,45700
Clarkson College,2,13392,13392,49300
Bryan College of Health Sciences,2,17282,17282,51300
Chadron State College,1,7384,7414,38200
Franklin Pierce University,2,36900,36900,39700
Union College,2,23780,23780,40800
Creighton University,2,39916,39916,59700
Keene State College,1,14212,23176,42400
Purdue University Global-Lincoln,1,14343,14343,33900
University of Nebraska Medical Center,1,.,.,71000
Kean University,1,12348,19383,46100
Drew University,2,39800,39800,52700
Felician University,2,34320,34320,47300
Bloomfield College,2,29950,29950,38200
New Jersey Institute of Technology,1,17338,32750,68500
Rowan University,1,13697,22339,50000
Eastern New Mexico University-Main Campus,1,6326,8247,29500
University of New Mexico-Main Campus,1,7633,22586,36400
Bard College,2,54680,54680,39700
Berkeley College-New York,3,25900,25900,40800
University of the Southwest,2,16200,16200,36200
Concordia College-New York,2,32900,32900,48000
Daemen College,2,28580,28580,42800
Cooper Union for the Advancement of Science and Art,2,46700,46700,64900
Cornell University,2,55188,55188,77200
Canisius College,2,28488,28488,47300
Sierra Nevada College,2,34241,34241,42100
Thomas More College of Liberal Arts,2,21600,21600,.
Monmouth University,2,38138,38138,50500
Institute of American Indian and Alaska Native Culture and Arts Development,1,4980,4980,15400
Saint Peter's University,2,37486,37486,45800
College of Saint Elizabeth,2,33596,33596,43400
Mesivta Torah Vodaath Rabbinical Seminary,2,11960,11960,.
Medaille College,2,29500,29500,39400
The College of New Rochelle,2,37732,37732,33900
Sh'or Yoshuv Rabbinical College,2,9460,9460,.
St. Joseph's College-Long Island,2,27840,27840,.
Roberts Wesleyan College,2,31568,31568,40900
Russell Sage College,2,30857,30857,44800
Paul Smiths College of Arts and Science,2,28452,28452,35300
Touro College,2,19870,19870,30400
Yeshiva University,2,43500,43500,58500
Yeshivath Viznitz,2,10100,10100,14400
United Talmudical Seminary,2,13962,13962,15800
Utica College,2,21382,21382,45300
Villa Maria College,2,23010,23010,28000
University at Buffalo,1,10099,27769,52600
SUNY Polytechnic Institute,1,8238,18018,51000
Catawba College,2,30520,30520,39400
University of North Carolina at Greensboro,1,7331,22490,37500
Lees-McRae College,2,25878,25878,33200
Lenoir-Rhyne University,2,36400,36400,38500
Livingstone College,2,18296,18296,23400
Queens University of Charlotte,2,34684,34684,42200
Greensboro College,2,29140,29140,36900
Art Academy of Cincinnati,2,33450,33450,25800
St. Andrews University,2,26648,26648,37200
Ashland University,2,21342,21342,40400
Cedarville University,2,30270,30270,41300
Trinity Bible College and Graduate School,2,16320,16320,27000
Warren Wilson College,2,36280,36280,25600
The Art Institute of Cincinnati-AIC College of Design,3,15674,15674,35700
Miami University-Oxford,1,15380,34896,47100
Mount Vernon Nazarene University,2,29244,29244,43600
Muskingum University,2,28266,28266,39600
Kent State University at Kent,1,10312,19014,38000
Kettering College,2,12960,12960,54500
Defiance College,2,32700,32700,41000
Ohio University-Main Campus,1,12192,21656,40500
Franciscan University of Steubenville,2,27630,27630,37700
University of Toledo,1,10293,19653,43800
Pontifical College Josephinum,2,22300,22300,.
Ohio Dominican University,2,31080,31080,41000
Ohio State University-Lima Campus,1,7644,27660,46100
Walsh University,2,29980,29980,43500
Randall University,2,15108,15108,34500
Wilberforce University,2,13250,13250,34200
Wilmington College,2,25675,25675,40000
Southeastern Oklahoma State University,1,6750,15390,35800
Wright State University-Main Campus,1,9254,18398,39500
University of Tulsa,2,41509,41509,48500
Oklahoma Christian University,2,22760,22760,38500
Oklahoma Panhandle State University,1,7930,8674,36700
Bacone College,2,17700,17700,34500
Cameron University,1,6450,15870,34300
University of Central Oklahoma,1,7489,18376,38800
Regent University,2,18380,18380,41600
Liberty University,2,22584,22584,36700
University of Richmond,2,52610,52610,64500
Radford University-Carilion,2,26886,26886,54000
University of Mary Washington,1,12714,28648,51400
Shenandoah University,2,32530,32530,45800
Southern Virginia University,2,16495,16495,36000
Central Washington University,1,8072,23053,46500
Cornish College of the Arts,2,41642,41642,29100
Western Washington University,1,8126,23540,45800
Whitman College,2,52764,52764,51300
Bethany College,2,29773,29773,40400
Fairmont State University,1,7514,16324,33000
Lawrence University,2,47475,47475,44100
Maranatha Baptist University,2,15410,15410,33000
Bellin College,2,20500,20500,58600
University of Wisconsin-Madison,1,10555,36805,56200
Bais Medrash Elyon,2,8600,8600,.
Stanford University,2,51354,51354,94000
Purdue University Global-Davenport,1,14343,14343,33900
California State University-San Marcos,1,7713,19593,47300
The University of Texas MD Anderson Cancer Center,1,.,.,86400
LeTourneau University,2,30210,30210,48200
Texas A & M University-Corpus Christi,1,9055,19462,43400
Texas College,2,10008,10008,23400
College of St Joseph,2,18520,18520,36700
University of Vermont,1,18276,42516,47300
West Texas A & M University,1,7935,9304,42700
Wiley College,2,12306,12306,26700
Utah Valley University,1,5726,16296,43800
University of Utah,1,9222,29215,53000
Westminster College,2,34000,34000,49800
Castleton University,1,12314,28322,37900
William & Mary,1,23400,45272,58500
Randolph College,2,39585,39585,39700
Strayer University-Virginia,3,13380,13380,45900
The University of Virginia's College at Wise,1,10119,27846,38400
Virginia Polytechnic Institute and State University,1,13620,31908,62500
Norfolk State University,1,9490,20658,35800
Radford University,1,11210,23292,43000
Eastern Washington University,1,7323,24444,43100
The Evergreen State College,1,7746,26262,33200
Virginia Union University,2,17748,17748,32000
Washington and Lee University,2,52455,52455,76100
Seattle Pacific University,2,42939,42939,49100
Bastyr University,2,.,.,40700
Edgewood College,2,29500,29500,43300
University of Wisconsin-River Falls,1,8025,15598,40900
Viterbo University,2,27970,27970,43200
University of Wyoming,1,5400,17490,47300
University of Wisconsin-Green Bay,1,7878,15728,40800
University of Wisconsin-Parkside,1,7389,15378,39900
University of Wisconsin-Stout,1,9457,17424,45100
Antioch University-Santa Barbara,2,.,.,38200
Willamette University,2,50279,50279,51100
Albright College,2,45306,45306,46700
Mount Angel Seminary,2,22046,22046,.
Multnomah University,2,25900,25900,34100
University of Oregon,1,11898,35478,44800
Franklin and Marshall College,2,56550,56550,58900
Drexel University,2,53244,53244,68800
California University of Pennsylvania,1,11108,15726,41600
Gettysburg College,2,54480,54480,56100
Carlow University,2,29454,29454,39700
Gratz College,2,.,.,.
Central Penn College,3,18714,18714,35300
Elizabethtown College,2,46940,46940,51300
Clarion University of Pennsylvania,1,11175,16054,37900
Mercyhurst University,2,37170,37170,40300
Moravian College,2,43636,43636,51100
Cairn University-Langhorne,2,27279,27279,34800
University of Pittsburgh-Johnstown,1,13876,25120,53900
Ursinus College,2,52050,52050,55200
Washington & Jefferson College,2,47964,47964,54500
Waynesburg University,2,24820,24820,45300
West Chester University of Pennsylvania,1,10412,22236,48400
Westminster College,2,36806,36806,43200
Swarthmore College,2,52588,52588,56700
Wilkes University,2,36194,36194,51600
Benedict College,2,16600,16600,25400
Citadel Military College of South Carolina,1,12516,34988,56800
Clinton College,2,10020,10020,25000
Coker University,2,29548,29548,32800
University of Rhode Island,1,14138,30862,52900
Columbia College,2,19500,19500,34600
North Greenville University,2,19750,19750,34400
Francis Marion University,1,11976,22488,33100
Allen University,2,12940,12940,23300
Lincoln Memorial University,2,22010,22010,38200
Martin Methodist College,2,24246,24246,32700
National American University-Rapid City,3,15000,15000,34500
Tennessee Wesleyan University,2,24300,24300,38500
Angelo State University,1,7436,17396,40200
Arlington Baptist University,2,13690,13690,32700
Tennessee Technological University,1,8731,24595,40500
Rhodes College,2,47890,47890,53600
Baptist Missionary Association Theological Seminary,2,6900,6900,.
East Texas Baptist University,2,26370,26370,40500
Texas A & M University-Commerce,1,8748,21198,39300
California State University-Stanislaus,1,7072,18952,45400
Chapman University,2,52724,52724,54500
Concordia University-Irvine,2,35400,35400,46400
California State University-Chico,1,7608,19488,48100
California State University-Fullerton,1,6886,18766,47200
California State University-Los Angeles,1,6749,18629,46100
California State University-Northridge,1,6893,18773,45400
University of California-Berkeley,1,14184,43176,64700
University of California-Los Angeles,1,13226,42218,60700
University of California-Santa Barbara,1,14391,43383,55300
Sofia University,3,.,.,.
California Christian College,2,9570,9570,.
Holy Names University,2,39316,39316,50800
Design Institute of San Diego,3,23860,23860,36800
Humboldt State University,1,7675,19555,36600
Dominican University of California,2,45850,45850,55600
John F. Kennedy University,2,8500,8500,58000
Middlebury Institute of International Studies at Monterey,2,.,.,58200
Laguna College of Art and Design,2,30700,30700,32900
Mills College,2,30257,30257,39900
National University,2,13320,13320,59400
University of San Francisco,2,48066,48066,62300
Pacific Union College,2,30060,30060,51700
Scripps College,2,55024,55024,54100
University of Advancing Technology,3,16598,16598,46400
Hodges University,2,14180,14180,37100
University of Washington-Tacoma Campus,1,11261,36642,57700
University of Phoenix-New Mexico,3,.,.,47100
Arizona State University-Polytechnic,1,9840,25576,47700
Rabbinical College Telshe,2,13100,13100,.
Oberlin College,2,55052,55052,40800
East Central University,1,6810,16020,36800
Rogers State University,1,7200,15540,34000
Portland State University,1,9105,27437,44700
Clarks Summit University,2,23890,23890,32000
Warner Pacific University,2,18660,18660,41000
Corban University,2,33040,33040,37600
American Jewish University,2,31946,31946,.
Fresno Pacific University,2,32458,32458,43900
Golden Gate University-San Francisco,2,.,.,71100
Harvey Mudd College,2,56620,56620,88800
University of La Verne,2,43050,43050,49200
Mount Saint Mary's University,2,41170,41170,53200
Loma Linda University,2,.,.,80600
Menlo College,2,42800,42800,50900
Loyola Marymount University,2,48522,48522,61300
Point Loma Nazarene University,2,35700,35700,50900
University of the Pacific,2,48164,48164,71700
Pepperdine University,2,53932,53932,65500
San Diego State University,1,7488,19340,51000
Colorado Christian University,2,31866,31866,39300
Whittier College,2,48086,48086,46800
University of Denver,2,50556,50556,56500
Colorado Mesa University,1,8627,20944,36800
Naropa University,2,31790,31790,20700
Sacred Heart University,2,41420,41420,56000
Wilmington University,2,11210,11210,42500
American University,2,48459,48459,61000
Johnson University Florida,2,16060,16060,29800
University of the District of Columbia,1,5888,12416,35200
Gallaudet University,2,17038,17038,31000
Trinity College,2,56910,56910,66100
Kansas State University,1,10383,25887,45600
Kentucky Mountain Bible College,2,9460,9460,.
Kentucky Christian University,2,19256,19256,34600
Manhattan Christian College,2,16260,16260,35500
MidAmerica Nazarene University,2,29736,29736,42900
Lindsey Wilson College,2,24850,24850,28800
Alice Lloyd College,2,11550,11550,31700
Asbury University,2,30198,30198,34900
Brescia University,2,22100,22100,40100
Eastern Kentucky University,1,9666,19444,36100
Thomas More University,2,31200,31200,49400
Union College,2,27140,27140,32100
Colby College,2,55210,55210,58100
University of New Orleans,1,8771,13607,37800
University of Maine at Farmington,1,9118,18598,36000
Nicholls State University,1,7952,9045,37500
Maine Maritime Academy,1,13478,27098,95600
Maine College of Art,2,35050,35050,27700
University of Baltimore,1,8958,21076,58000
Loyola University Maryland,2,48920,48920,68100
Stevenson University,2,36242,36242,49600
Washington College,2,46978,46978,51400
Babson College,2,51104,51104,96100
Becker College,2,39200,39200,43800
Endicott College,2,33050,33050,51100
Fitchburg State University,1,10354,16434,45700
Framingham State University,1,10520,16600,45800
MCPHS University,2,33620,33620,116000
Gordon College,2,37400,37400,41700
Massachusetts Institute of Technology,2,51832,51832,104700
Merrimack College,2,41760,41760,57100
MGH Institute of Health Professions,2,.,.,.
Albion College,2,45590,45590,47400
Mount Holyoke College,2,49998,49998,48600
Salem State University,1,10642,17082,43500
Simmons University,2,40850,40850,55800
Andrews University,2,29288,29288,45200
Aquinas College,2,32574,32574,37300
Nichols College,2,35000,35000,48300
University of Detroit Mercy,2,28000,28000,47100
Ferris State University,1,11788,11788,44500
Olivet College,2,27680,27680,38400
Beulah Heights University,2,10150,10150,29100
Rasmussen College-Florida,3,10935,10935,32600
Agnes Scott College,2,41160,41160,39400
St. Thomas University,2,31830,31830,49400
Dalton State College,1,4246,12668,32300
South University-Savannah,3,17014,17014,33400
Emmanuel College,2,20292,20292,33600
Fort Valley State University,1,6658,19738,30900
Morehouse College,2,27576,27576,41800
Chaminade University of Honolulu,2,25374,25374,38400
Paine College,2,16096,16096,28200
Idaho State University,1,7420,22940,35700
East-West University,2,22050,22050,25700
University of Illinois at Chicago,1,13764,26980,54300
Loyola University Chicago,2,44048,44048,54100
Illinois State University,1,14516,26040,47100
McKendree University,2,30520,30520,45800
Methodist College,2,20750,20750,.
Judson University,2,29860,29860,42800
VanderCook College of Music,2,28434,28434,.
Resurrection University,2,.,.,71100
Hanover College,2,37670,37670,46400
St. John's College-Department of Nursing,2,.,.,.
Anderson University,2,30450,30450,37200
Ball State University,1,9896,26468,41100
Butler University,2,41120,41120,56600
DePauw University,2,49704,49704,54000
Telshe Yeshiva-Chicago,2,13500,13500,.
Wabash College,2,43650,43650,56300
University of Indianapolis,2,29688,29688,40600
University of Notre Dame,2,53391,53391,78400
Oakland City University,2,24000,24000,33600
University of Southern Indiana,1,8349,19436,37000
Indiana University-Kokomo,1,7344,19400,36200
Dordt University,2,30840,30840,41700
Taylor University,2,34114,34114,38000
Iowa State University,1,8988,23392,50700
Stillman College,2,11092,11092,28200
Amridge University,2,6900,6900,39600
University of Alabama in Huntsville,1,10714,22362,46700
Auburn University at Montgomery,1,8404,17812,33300
University of Mobile,2,23230,23230,35200
Alaska Pacific University,2,20760,20760,40200
University of Montevallo,1,12760,25780,34200
University of North Alabama,1,10142,18452,37800
Samford University,2,31650,31650,49900
Northern Arizona University,1,11564,25828,40100
Madonna University,2,21900,21900,40900
Hillsdale College,2,27578,27578,.
University of Michigan-Ann Arbor,1,15262,49350,63400
Michigan State University,1,14460,39766,53600
University of Michigan-Flint,1,11304,22065,40600
Bethel University,2,37300,37300,47300
Metropolitan State University,1,7879,14980,48200
Jackson State University,1,8051,19279,30000
Millsaps College,2,39910,39910,48100
Blue Mountain College,2,12584,12584,31400
