instnm,control,tuitionfee_in,tuitionfee_out,md_earn_wne_p10
Hussian College-Los Angeles,3,40100,40100,.
Arizona College-Las Vegas,3,19764,19764,.
Purdue University Global-Milwaukee,1,14343,14343,.
Antioch College,2,35568,35568,.
Catholic Distance University,2,10175,10175,.
University of North Texas at Dallas,1,9139,21589,45000
University of Phoenix-Florida,3,.,.,47100
University of Phoenix-Michigan,3,.,.,47100
West Coast University-Miami,3,21432,21432,54900
University of Phoenix-Virginia,3,9552,9552,47100
Yeshiva Yesodei Hatorah,2,13000,13000,.
Northeastern University Lifelong Learning Network,2,.,.,67400
DeVry University-Arizona,3,17557,17557,44100
DeVry University-Georgia,3,17545,17545,44100
DeVry University-Missouri,3,17395,17395,44100
DeVry University-North Carolina,3,18085,18085,44100
DeVry University-Pennsylvania,3,17689,17689,44100
DeVry University-Texas,3,17724,17724,44100
California University of Management and Sciences,2,6540,6540,.
Gemini School of Visual Arts & Communication,3,.,.,.
Grace Mission University,2,2840,2840,.
Middle Georgia State University,1,3924,11092,31500
Mid-South Christian College,2,7902,7902,.
Veritas Baptist College,2,5800,5800,.
Montana Bible College,2,.,.,.
American Sentinel University,3,10140,10140,.
Yeshiva Gedolah Zichron Leyma,2,10750,10750,.
Criswell College,2,10710,10710,.
Beverly Hills Design Institute,3,23220,23220,.
Chamberlain University-Georgia,3,19375,19375,58400
Colorado State University-Global Campus,1,.,.,.
South University-Cleveland,3,.,.,33400
Warner Pacific University Professional and Graduate Studies,2,6000,6000,41000
Carolina College of Biblical Studies,2,6320,6320,.
North American University,2,9900,9900,.
American Business and Technology University,3,.,.,.
Strayer University-Arkansas,3,13380,13380,45900
Strayer University-Mississippi,3,13380,13380,45900
The Art Institute of San Antonio,3,17568,17568,34100
South University-Virginia Beach,3,17014,17014,33400
Herzing University-Kenosha,2,14000,14000,37800
Strayer University-Florida,3,13380,13380,45900
Strayer University-Delaware,3,13380,13380,45900
Strayer University-New Jersey,3,13380,13380,45900
Roseman University of Health Sciences,2,.,.,.
Ave Maria University,2,20850,20850,32800
University of California-Merced,1,13538,42530,.
SAE Expression College,3,26079,26079,48400
Ottawa University-Online,2,.,.,41500
Bais Medrash Toras Chesed,2,6400,6400,.
South University-Tampa,3,17014,17014,33400
Yeshiva Toras Chaim,2,12250,12250,.
Chamberlain University-Arizona,3,19375,19375,58400
Oregon State University-Cascades Campus,1,10158,29403,49600
University of Connecticut-Waterbury Campus,1,13688,36056,58400
Linfield College-Online and Continuing Education,2,.,.,55200
University of the Potomac-Washington DC Campus,3,15984,15984,47600
Faith Theological Seminary,2,6760,6760,.
Tuskegee University,2,22170,22170,35500
Arizona State University-Tempe,1,10822,28336,47700
Ottawa University-Phoenix,2,.,.,41500
University of Arkansas,1,9130,25168,44900
Grand Canyon University,3,17050,17050,52700
Harding University,2,19845,19845,40900
Henderson State University,1,8530,10180,35700
Williams Baptist University,2,17320,17320,33100
John Brown University,2,26928,26928,45800
Biola University,2,40488,40488,44500
Lincoln University,2,11110,11110,.
Simpson University,2,30200,30200,34500
Walden University,3,12120,12120,50100
University of Southern California,2,56225,56225,74000
Holy Apostles College and Seminary,2,7870,7870,.
Nazarene Bible College,2,11760,11760,29700
University of Northern Colorado,1,9918,21786,42000
Mitchell College,2,33200,33200,32000
University of New Haven,2,39270,39270,52100
Central Connecticut State University,1,10616,23124,47900
Delaware State University,1,7868,16904,35800
Lynn University,2,38210,38210,39300
University of Saint Joseph,2,38173,38173,52800
Flagler College-St Augustine,2,18950,18950,38900
Florida International University,1,6556,18954,46300
Florida State University,1,5656,18786,46400
Full Sail University,3,24109,24109,39300
AI Miami International University of Art and Design,3,17604,17604,31600
Clark Atlanta University,2,22186,22186,35500
Berry College,2,36556,36556,40000
The University of West Florida,1,6360,19241,38900
The University of Tampa,2,29208,29208,48600
Georgia Southwestern State University,1,5381,15842,36400
University of West Georgia,1,6288,17074,38200
University of St Francis,2,32320,32320,53100
Holy Cross College,2,30700,30700,39900
Saint Xavier University,2,33880,33880,48200
Huntington University,2,26158,26158,36200
Indiana University-Purdue University-Indianapolis,1,9465,29821,42500
Grinnell College,2,52392,52392,49100
Manchester University,2,32758,32758,40700
Indiana Wesleyan University-Marion,2,26630,26630,49900
Iowa Wesleyan University,2,24600,30500,39500
Fort Hays State University,1,5130,15210,38200
Midway University,2,24750,24750,34500
Western Kentucky University,1,10512,26280,34700
Murray State University,1,9084,24540,37100
Northern Kentucky University,1,10032,19680,37500
Louisiana State University and Agricultural & Mechanical College,1,11950,28627,50100
Spalding University,2,24500,24500,45100
Louisiana Tech University,1,9645,18558,41500
McNeese State University,1,7860,15898,38200
University of Maine at Augusta,1,7988,17918,27700
Southern University and A & M College,1,9122,16472,34700
University of Maine at Machias,1,7830,15100,27500
University of Maine at Presque Isle,1,8035,12235,32400
Franciscan Missionaries of Our Lady University,2,13287,13287,47200
University of New England,2,37620,37620,46300
Salisbury University,1,9824,19526,50500
Bowie State University,1,8234,18874,45800
Capitol Technology University,2,25540,25540,63900
University of Maryland Global Campus,1,7416,12336,51200
American International College,2,35680,35680,46000
Frostburg State University,1,9172,22892,44600
Goucher College,2,44300,44300,48900
Purdue University Global-Hagerstown,1,14343,14343,33900
Clark University,2,45730,45730,49100
Dean College,2,39434,39434,33500
Lasell University,2,36000,36000,43000
