UNITID,INSTNM,STABBR,LONGITUD,LATITUDE
125310,Waynes College of Beauty,CA,-121.652672,36.700635
125462,West Hills College-Coalinga,CA,-120.356747,36.147891
125471,West Los Angeles College,CA,-118.386664,34.004512
125499,West Valley College,CA,-122.008324,37.26398
125532,Carrington College-Sacramento,CA,-121.371331,38.556151
125718,Westminster Theological Seminary in California,CA,-117.046371,33.121447
125727,Westmont College,CA,-119.662517,34.450151
125763,Whittier College,CA,-118.032299,33.978773
125897,Woodbury University,CA,-118.341147,34.208011
126012,The Wright Institute,CA,-122.253168,37.868221
126049,Thomas Jefferson School of Law,CA,-117.157862,32.717595
126076,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,CA,-118.346613,34.085465
126100,Yosemite Community College District Office,CA,-121.040246,37.66107
126119,Yuba College,CA,-121.53964,39.126536
154022,Ashford University,CA,-117.141961,32.8273
243744,Stanford University,CA,-122.167359,37.429434
245838,Antioch University-Los Angeles,CA,-118.384458,33.988533
245847,Antioch University-Santa Barbara,CA,-119.6958,34.419203
246974,Carrington College-San Leandro,CA,-122.12567,37.699627
248846,FIDM-Fashion Institute of Design & Merchandising-San Diego,CA,-117.155894,32.708877
260789,Platt College-Los Angeles,CA,-118.150013,34.081723
262022,Bethel Seminary-San Diego,CA,-117.06605,32.765387
262086,Brandman University,CA,-117.769012,33.656401
262369,Adrian's College of Beauty Turlock,CA,-120.863784,37.491448
262402,California Career School,CA,-117.906219,33.819547
365125,Palomar Institute of Cosmetology,CA,-117.188351,33.13663
366289,InterCoast Colleges-Santa Ana,CA,-117.85367,33.70497
366401,Las Positas College,CA,-121.80058,37.710873
366711,California State University-San Marcos,CA,-117.159013,33.130569
367954,University of St. Augustine for Health Sciences,CA,-117.165964,33.151849
368771,Hypnosis Motivation Institute,CA,-118.538719,34.170219
368780,Los Angeles ORT College-Los Angeles Campus,CA,-118.369564,34.064181
368832,Thanh Le College School of Cosmetology,CA,-117.908306,33.789713
371690,Downey Adult School,CA,-118.115727,33.91965
371830,CRU Institute of Cosmetology and Barbering,CA,-118.030758,33.790145
